,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Free data analytics project for your resume with FMCG / Supply Chain dataset | Challenge #2,2022-10-12,1774,147,0,8,Oct
1,News classification using Gensim word vectors: NLP Tutorial For Beginners - 23,2022-10-11,1082,62,0,11,Oct
2,Resume Project Challenge Winner Announcement: Revenue Insights In Hospitality Domain,2022-10-10,4744,126,0,5,Oct
3,Word vectors in Gensim overview: NLP Tutorial For Beginners - 22,2022-10-05,1844,58,0,13,Oct
4,News classification using Spacy word vectors: NLP Tutorial For Beginners - 21,2022-10-01,3493,128,0,17,Oct
5,Word vectors in Spacy overview: NLP Tutorial For Beginners - 20,2022-09-28,2164,63,0,7,Sep
6,AI/Ml Career Insights From Google's AI Cloud Solution Services Head - India,2022-09-24,10737,255,0,15,Sep
7,Free data analytics project for your resume with hospitality dataset | Challenge #1,2022-09-21,14354,445,0,19,Sep
8,3 Important things to get your resume picked,2022-09-19,2797,121,0,5,Sep
9,Three excellent websites to practice SQL interview questions 🔥,2022-09-17,3924,277,0,5,Sep
10,NVIDIA GPU Giveaway | World's Biggest FREE AI Conference - NVIDIA GTC Fall 2022,2022-09-16,4956,186,0,113,Sep
11,Build a Stand-Out Data Science Project Portfolio With Omdena,2022-09-14,25619,837,0,31,Sep
12,8 Data Analyst Skills in 2022 | Ironman Style 🔥🔥,2022-09-12,8390,472,0,6,Sep
13,6 Power BI Skills To Become A Successful Data Analyst 🔥🔥,2022-09-09,4251,205,0,5,Sep
14,Text Representation Using Word Embeddings: NLP Tutorial For Beginners - 19,2022-09-08,5188,149,0,18,Sep
15,Data Analyst Project For Beginners (HR Analytics): 6 - Closing,2022-09-05,11557,222,0,17,Sep
16,Data Analyst Project For Beginners (HR Analytics): 5 - Dashboarding,2022-09-05,3747,63,0,9,Sep
17,Data Analyst Project For Beginners (HR Analytics): 4 - Creating Metrics,2022-09-05,3719,48,0,16,Sep
18,Data Analyst Project For Beginners (HR Analytics): 3 - Data Gathering & Transformation,2022-09-05,6962,121,0,17,Sep
19,Data Analyst Project For Beginners (HR Analytics): 2 - Understanding Requirements,2022-09-05,7492,162,0,7,Sep
20,Data Analyst Project For Beginners (HR Analytics): 1 - Problem Statement,2022-09-05,10030,304,0,21,Sep
21,Codebasics Day: Live Fun Data Quiz With Prizes For Winners,2022-09-05,2353,71,0,3,Sep
22,Teachers Who Influenced us,2022-09-05,806,37,0,3,Sep
23,"Codebasics Day: New Initiative To Help Data Science, Data Analytics Learners",2022-09-05,4954,220,0,17,Sep
24,Codebasics Day: The Teacher Who Doesn’t Want to Retire,2022-09-05,2391,224,0,32,Sep
25,"Big Announcement, Live Stream | 5th September - Codebasics Day",2022-09-02,8396,235,0,33,Sep
26,SQL Interview Questions and Answers Practice | 3 Best Websites,2022-09-01,15095,827,0,32,Sep
27,Your First Data Analytics Project,2022-08-30,14057,1132,0,16,Aug
28,What is Business Intelligence Tool? What is Power BI?,2022-08-27,7456,226,0,19,Aug
29,Not getting answers for your questions? Try this POWERFUL technique🚀,2022-08-25,3177,237,0,5,Aug
30,Having a confusion on your career? Try this bottom up approach!,2022-08-20,10600,392,0,44,Aug
31,Text Representation Using TF-IDF: NLP Tutorial For Beginners - 18,2022-08-17,4572,121,0,11,Aug
32,Text Representation Using Bag Of n-grams: NLP Tutorial For Beginners - 17,2022-08-13,4570,128,0,23,Aug
33,Study plan to crack FAANG job interviews | MAANG interview preparation guide,2022-08-06,149737,5319,0,135,Aug
34,Stop Words: NLP Tutorial For Beginners - 16,2022-08-04,3123,107,0,18,Aug
35,Pandas Memory Optimization Tips,2022-08-01,4082,219,0,12,Aug
36,What exactly is insights to space ratio in BI dashboard?,2022-07-27,4350,195,0,5,Jul
37,Text Representation Using Bag Of Words (BOW): NLP Tutorial For Beginners - 15,2022-07-25,5813,141,0,16,Jul
38,Data Analytics Live Q&A - 24th July,2022-07-24,7978,262,0,23,Jul
39,The Learning Resource That Helped People Crack Job Interviews at Meta and Walmart,2022-07-21,7867,213,0,16,Jul
40,What Learners Think About Codebasics Data Analytics Course?,2022-07-15,7814,204,0,68,Jul
41,Text Representation: Label & One Hot Encoding: NLP Tutorial For Beginners - 14,2022-07-14,4120,163,0,15,Jul
42,How to Design an Effective Data Visualization Dashboard?,2022-07-09,46291,433,0,19,Jul
43,What are the features in machine learning?,2022-07-07,4206,158,0,12,Jul
44,Resume Tips: Interests and Hobbies Section,2022-07-06,6204,274,0,4,Jul
45,Data Visualization Tip: Provide a Context,2022-07-04,5086,246,0,7,Jul
46,Text Representation Basics: NLP Tutorial For Beginners - 13,2022-07-01,4995,170,0,13,Jul
47,Resume Tip: Use STAR Method to Describe Project Experience,2022-06-30,7391,391,0,4,Jun
48,Deepnote = Jupyter notebook for collaboration 🤝 | Deepnote Tutorial,2022-06-29,4881,165,0,13,Jun
49,Resume Tip: Concrete Proof Over a Vague Claim,2022-06-27,6491,270,0,4,Jun
50,Data Visualization Tip: Start Your Chart With ZERO,2022-06-25,9104,496,0,12,Jun
51,Data Visualization Tip - What is Ribbon chart?,2022-06-23,7548,382,0,13,Jun
52,Python Course is LIVE now 🔥🔥🔥,2022-06-21,18431,581,0,157,Jun
53,Data Visualization Tip - Pie Chart or Bar Chart?,2022-06-15,7890,402,0,19,Jun
54,Data Analyst & Software Engineer Resume Tips and Templates,2022-06-11,20701,748,0,44,Jun
55,Data Analytics Live Q&A,2022-06-05,10049,323,0,24,Jun
56,Named Entity Recognition (NER): NLP Tutorial For Beginners - 12,2022-06-03,11479,308,0,28,Jun
57,A Killer Update In Power BI 🔥,2022-05-31,38945,1509,0,21,May
58,Scholarship For Codebasics Data Analytics Course,2022-05-28,21019,727,0,141,May
59,Data Analytics In Power BI Tutorials For Beginners: The Course is now LIVE 🚀,2022-05-26,26205,661,0,163,May
60,Must have skill for exploratory data analysis.,2022-05-21,14733,621,0,25,May
61,Data science skills 10 years from now!,2022-05-16,20575,970,0,40,May
62,Part Of Speech POS Tagging: NLP Tutorial For Beginners - 11,2022-05-14,8552,243,0,27,May
63,Future of NLP Jobs,2022-05-11,13765,663,0,24,May
